Country Name,2020 Gain Index
Afghanistan,32.9999316006805
Armenia,55.5871384464245
Bangladesh,36.8813953155784
Bhutan,47.8477050433019
Cambodia,38.7323406447892
China,57.8677484384584
Georgia,57.8204994637034
India,43.9830108005174
Indonesia,46.7561353765249
Kiribati,
Kyrgyzstan,52.1796337920887
Lao People's Democratic Republic,40.1020863359757
Maldives,45.5776550015457
Mongolia,53.4762432344103
Nepal,41.7206150029328
Pakistan,39.0459251225624
Papua New Guinea,37.3895916959374
Philippines,43.8777434761021
Samoa,47.0685012101511
Solomon Islands,42.152250933287
Sri Lanka,46.0106072096261
Tajikistan,46.1278723105417
Thailand,52.429480571899
Tonga,41.5823467932925
Tuvalu,
Uzbekistan,49.4463187571274
Viet Nam,47.1208070358985
